"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734290","120912FNGbb001.1","2012-09-12","Tissue ","full set, formalin fixed","","","Necropsy","","","","10% Buffered formalin","","Ambient temperature","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734291","120912FNGbb001.2","2012-09-12","Tissue ","lung","","","Necropsy","","","","Frozen with no medium","","Freezer (-20C)","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734292","120912FNGbb001.3","2012-09-12","Tissue ","kidney","","","Necropsy","","","","Frozen with no medium","","Freezer (-20C)","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734293","120912FNGbb001.4","2012-09-12","Tissue ","liver","","","Necropsy","","","","Frozen with no medium","","Freezer (-20C)","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734294","120912FNGbb001.5","2012-09-12","Tissue ","pancreas","","","Necropsy","","","","Frozen with no medium","","Freezer (-20C)","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734295","120912FNGbb001.6","2012-09-12","Oral swab","","","","Necropsy","","","","Viral transport media","","Liquid Nitrogen","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734296","120912FNGbb001.7","2012-09-12","Nasal swab ","","","","Necropsy","","","","Viral transport media","","Liquid Nitrogen","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734297","120912FNGbb001.8","2012-09-12","Genital swab ","","","","Necropsy","","","","Viral transport media","","Liquid Nitrogen","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734298","120912FNGbb001.9","2012-09-12","Rectal swab ","","","","Necropsy","","","","Viral transport media","","Liquid Nitrogen","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
"Bwindi NP Uganda","Bwindi NP Uganda-2012-09-12","Uganda","Western Province","Kisoro","1.0399","29.684","Montane forest","","low (mostly pristine)","area with ecotourism","area with hunting","none","","2012-09-12","","","Kirsten Gilardi","","UC Davis","False","Actual","contact with park personnel/intensive wildlife management area ","","contact with tourists/ecotourism","","Active surveillance","Yes","","120912FNGbb001","","","","","155806","120912FNGbb001","","2012-09-12","","","Fred Nizeyimana","Direct observation","","Wild","Primates","","Gorilla beringei beringei","mountain gorilla","","Actual","Bwiruka","Female","Adult","","","","Died (fresh carcass)","False","Dead","","","","","","","","","No","None observed prior to death","No","","Necropsy","Geratric; old fracture of left arm; multiple traumatic wounds; scoliosis.","","","","","","","","","","","","","Yes","","","","FY3 Q4:  Jul 1 - Sep 30, 2012","Lat/Long at capture site: 0807073/987708","","734299","120912FNGbb001.10","2012-09-12","Oral swab","","","","Necropsy","","","","Frozen with no medium","","Liquid Nitrogen","MGVP Musanze","","","","","","","","","","","10/6/2012 1:57:09 PM","7646","False"
