"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Bakogo, west of Nguti","Bakogo, west of Nguti 2009-09-05","Cameroon","Southwest","","5.4657","9.309","","","","","","","","2009-09-05","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO81697","","","","","41949","GVF-CM-ECO81697.2009-09-05","","2009-09-05","","","hunter","","","Wild","Rodents","Atherurus africanus","Atherurus africanus","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","241249","GVF-CM-ECO81697DGL1","2009-02-24","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:52:15 AM","3527","False"
"Bakogo, west of Nguti","Bakogo, west of Nguti 2009-09-05","Cameroon","Southwest","","5.4657","9.309","","","","","","","","2009-09-05","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO81697","","","","","42139","GVF-CM-ECO81697.2009-09-05","","2009-09-05","","","hunter","","","Wild","Rodents","Atherurus africanus","Atherurus africanus","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pre-FY1","","","241515","GVF-CM-ECO81697DGL1","2009-02-24","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:53:30 AM","3527","False"
"Etekessang, north of Ngoila","Etekessang, north of Ngoila-2010-03-09","Cameroon","East","","2.689","14.003","","","","","","","","2010-03-09","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO39785","","","","","42091","GVF-CM-ECO39785.2010-03-09","","2010-03-09","","","hunter","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY1 Q2:  Jan 1 - Mar 31, 2010","","","241567","GVF-CM-ECO39785DN1","2011-05-10","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:53:30 AM","3527","False"
"Etekessang, north of Ngoila","Etekessang, north of Ngoila-2010-03-09","Cameroon","East","","2.689","14.003","","","","","","","","2010-03-09","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO39543","","","","","42008","GVF-CM-ECO39543.2010-03-09","","2010-03-09","","","hunter","","","Wild","Other Mammals","Cephalophus dorsalis","Cephalophus dorsalis","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY1 Q2:  Jan 1 - Mar 31, 2010","","","241573","GVF-CM-ECO39543DN1","2011-03-10","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:53:30 AM","3527","False"
"Etekessang, north of Ngoila","Etekessang, north of Ngoila-2010-03-09","Cameroon","East","","2.689","14.003","","","","","","","","2010-03-09","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO39530","","","","","41976","GVF-CM-ECO39530.2010-03-09","","2010-03-09","","","hunter","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY1 Q2:  Jan 1 - Mar 31, 2010","","","241575","GVF-CM-ECO39530DN1","2011-03-16","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:53:30 AM","3527","False"
"Etekessang, north of Ngoila","Etekessang, north of Ngoila-2010-03-09","Cameroon","East","","2.689","14.003","","","","","","","","2010-03-09","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO39631","","","","","42045","GVF-CM-ECO39631.2010-03-09","","2010-03-09","","","hunter","","","Wild","Other Mammals","Cephalophus silvicultor","Cephalophus silvicultor","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY1 Q2:  Jan 1 - Mar 31, 2010","","","241576","GVF-CM-ECO39631DN1","2011-02-18","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:53:30 AM","3527","False"
"Etekessang, north of Ngoila","Etekessang, north of Ngoila-2010-03-09","Cameroon","East","","2.689","14.003","","","","","","","","2010-03-09","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO39781","","","","","41926","GVF-CM-ECO39781.2010-03-09","","2010-03-09","","","hunter","","","Wild","Rodents","Cricetomys emini","Cricetomys emini","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY1 Q2:  Jan 1 - Mar 31, 2010","","","241311","GVF-CM-ECO39781DN1","2011-07-18","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:52:15 AM","3527","False"
"Etekessang, north of Ngoila","Etekessang, north of Ngoila-2010-03-09","Cameroon","East","","2.689","14.003","","","","","","","","2010-03-09","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO39782","","","","","41927","GVF-CM-ECO39782.2010-03-09","","2010-03-09","","","hunter","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY1 Q2:  Jan 1 - Mar 31, 2010","","","241312","GVF-CM-ECO39782DN1","2011-05-04","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:52:15 AM","3527","False"
"Etekessang, north of Ngoila","Etekessang, north of Ngoila-2010-03-09","Cameroon","East","","2.689","14.003","","","","","","","","2010-03-09","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO39509","","","","","41874","GVF-CM-ECO39509.2010-03-09","","2010-03-09","","","hunter","","","Wild","Rodents","Atherurus africanus","Atherurus africanus","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY1 Q2:  Jan 1 - Mar 31, 2010","","","241323","GVF-CM-ECO39509DN1","2011-03-06","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:52:15 AM","3527","False"
"Etekessang, north of Ngoila","Etekessang, north of Ngoila-2010-03-09","Cameroon","East","","2.689","14.003","","","","","","","","2010-03-09","00:00:00","","Joseph Diffo","","GVFI","False","","hunted","","","","Active surveillance","","","GVF-CM-ECO39530","","","","","41875","GVF-CM-ECO39530.2010-03-09","","2010-03-09","","","hunter","","","Wild","Other Mammals","Cephalophus monticola","Cephalophus monticola","","","Estimate","","","","","","","Killed (fresh carcass)","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY1 Q2:  Jan 1 - Mar 31, 2010","","","241324","GVF-CM-ECO39530DN1","2011-03-16","Blood drop (protein saver) ","","","","","No","","","","","","","","","","","","","","","","","10/14/2011 11:52:15 AM","3527","False"
